gl_code;gl_naam;categorie
603000;Algemene onderaanneming;Overige diensten en diverse goederen
604000;Aankopen van handelsgoederen;Aankopen handelsgoederen
604001;Aankopen van handelsgoederen - duties;Aankopen handelsgoederen
604002;Aankopen van handelsgoederen - transportkosten;Aankopen handelsgoederen
604003;Aankopen van handelsgoederen - Facturen;Aankopen handelsgoederen
604004;Aankopen van Hulpstoffen;Aankopen handelsgoederen
610000;Diensten en diverse goederen;Overige diensten en diverse goederen
610100;Huurlasten gebouwen;Kosten gebouw
610200;Huurlasten installaties, machines en uitrusting;Kosten kantoor
610300;Huurlasten bedrijfswagens;Autokosten
610301;Huurlasten personenwagens (50% BTW aftrek);Autokosten
610302;Huurlasten personenwagens (100% BTW aftrek);Autokosten
610303;Huurlasten leasfietsen;Autokosten
610500;Onderhoud gebouwen;Kosten gebouw
610700;Onderhoud en herstellingen installaties, machines en uitrusting;Kosten kantoor
610701;Onderhoud en herstellingen kantoormachines;Kosten kantoor
610800;Onderhoud en herstellingen bedrijfswagens;Autokosten
610801;Onderhoud en herstellingen personenwagens;Autokosten
611000;Bureaubenodigdheden en drukwerk;Kosten kantoor
611100;Boeken, prospectussen en documentatie;Kosten kantoor
611200;Klein materiaal;Kosten kantoor
611300;Onderhoudsproducten;Kosten kantoor
611301;Afvalverwerking;Kosten kantoor
611500;Gas, water en elektriciteit;Kosten kantoor
612000;Erelonen sociaal secretariaat;Overige diensten en diverse goederen
612050;Administratieve diensten;Overige diensten en diverse goederen
612100;Informaticaprestaties;Managementvergoedingen en erelonen
612200;Incassokosten;Overige diensten en diverse goederen
612300;Erelonen consultants;Managementvergoedingen en erelonen
612301;Erelonen IT - consultants;Managementvergoedingen en erelonen
612302;Erelonen modellen;Managementvergoedingen en erelonen
612500;Brandstoffen bedrijfswagens;Autokosten
612501;Brandstoffen personenwagens (100% aftrekbaar);Autokosten
612600;Andere autokosten bedrijfswagens;Autokosten
612601;Parkingkosten;Autokosten
612602;Taxikosten;Reiskosten
612603;Tolgelden;Autokosten
612700;Verplaatsingskosten terugbetaald aan derden;Overige diensten en diverse goederen
613000;Brandverzekering;Kosten gebouw
613200;Verzekering tegen bedrijfsrisico’s;Overige diensten en diverse goederen
613400;Verzekering bedrijfswagens;Autokosten
613401;Verzekering personenwagens;Autokosten
613500;Verzekeringen algemeen;Overige diensten en diverse goederen
613501;Transportverzekering;Overige diensten en diverse goederen
614000;Vervoerkosten op verkoop (algemene verrichtingen);Transportkosten en Bleckmann
614001;Handelingskosten Bleckmann;Transportkosten en Bleckmann
614002;Vervoerkosten Bleckmann;Transportkosten en Bleckmann
614003;Verpakkingskosten;Transportkosten en Bleckmann
615000;Commissielonen;Managementvergoedingen en erelonen
615200;Erelonen boekhouders en accountants;Managementvergoedingen en erelonen
615300;Overige erelonen;Managementvergoedingen en erelonen
615301;Managementvergoedingen;Managementvergoedingen en erelonen
615302;Beheerskosten sociaal secretariaat;Overige diensten en diverse goederen
